DBN,SCHOOL NAME,LOCATION,% of Graduates,Asian,Black,Hispanic,Multi-Racial,Native-American,White,Poverty,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,Total SAT Score
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,Upper Manhattan,98.4%,20.4,4.1,10.9,0.9,0.4,63.4,21.50%,572,594,592,1758
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",Upper Manhattan,98.9%,37.6,8.9,17.3,1.1,0.4,27.2,45.80%,605,654,588,1847
05M304,MOTT HALL HIGH SCHOOL,Upper Manhattan,19.2%,3.4,33.3,58.2,0.0,1.0,3.4,93.60%,413,399,398,1210
04M555,CENTRAL PARK EAST HIGH SCHOOL,Upper Manhattan,69.1%,3.4,33.3,58.2,0.0,1.0,3.4,93.60%,405,421,395,1221
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,Upper Manhattan,85.6%,19.5,11.0,17.4,5.2,0.2,43.8,29.00%,566,564,577,1707
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,Lower Manhattan,19.4%,7.8,25.5,60.1,0.0,0.8,4.2,85.30%,416,426,391,1233
02M475,STUYVESANT HIGH SCHOOL,Lower Manhattan,97.9%,74.5,0.6,2.4,2.5,0.3,17.9,45.30%,679,735,682,2096
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,Lower Manhattan,60.0%,41.6,9.8,45.5,0.0,0.4,2.7,74.80%,332,557,316,1205
02M418,MILLENNIUM HIGH SCHOOL,Lower Manhattan,66.4%,54.6,2.0,12.3,2.3,0.3,25.2,53.30%,528,553,533,1614
02M560,CITY AS SCHOOL,Lower Manhattan,37%,4.3,36.4,40.9,1.8,0.3,16.3,69.90%,498,440,477,1415
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,Midtown Manhattan,19.5%,6.3,23.7,65.2,0.5,0.7,3.4,78.10%,414,425,400,1239
02M542,MANHATTAN BRIDGES HIGH SCHOOL,Midtown Manhattan,15.9%,0.2,0.2,99.0,0.0,0.0,0.0,68.60%,336,378,344,1058
01M696,BARD HIGH SCHOOL EARLY COLLEGE,Midtown Manhattan,75.3%,25.7,16.1,17.7,1.3,0.2,38.9,45.60%,624,604,628,1856
02M439,MANHATTAN VILLAGE ACADEMY,Midtown Manhattan,87.3%,7.2,11.3,59.7,0.0,0.2,7.9,76.20%,441,473,458,1372
03M479,BEACON HIGH SCHOOL,Midtown Manhattan,98%,11.8,14.8,23.2,3.2,0.9,38.4,32.20%,577,575,592,1744
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,Brooklyn,13.5%,17.6,22.4,47.4,0.0,1.0,11.7,52.90%,287,335,291,913
18K563,IT TAKES A VILLAGE ACADEMY,Brooklyn,12.4%,1.4,86.8,7.0,0.3,1.1,1.6,69.40%,313,320,330,963
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,Brooklyn,6.2%,5.4,43.4,46.6,0.0,1.0,2.0,84.10%,371,371,354,1096
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn,96.5%,61.3,6.9,7.2,0.5,0.4,21.9,61.10%,587,659,587,1833
14K449,BROOKLYN LATIN SCHOOL,Brooklyn,82.6%,45.7,14.6,13.3,6.5,0.4,13.5,57.70%,586,584,570,1740
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Bronx,19.7%,0.0,0.3,99.7,0.0,0.0,0.0,Above 95%,315,339,297,951
09X403,BRONX INTERNATIONAL HIGH SCHOOL,Bronx,15.5%,2.8,16.2,77.4,0.0,1.3,2.3,91.10%,314,312,339,965
02M586,HARVEY MILK HIGH SCHOOL,Bronx,13.5%,2.7,29.7,58.1,1.4,0.0,8.1,81.10%,458,416,429,1303
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,Bronx,7.6%,1.3,34.9,59.5,0.0,0.3,1.9,88.00%,355,350,372,1077
10X445,BRONX HIGH SCHOOL OF SCIENCE,Bronx,97.8%,61.7,2.1,5.5,1.1,0.4,21.3,43.70%,632,688,649,1969
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,Queens,3.4%,0.0,0.0,99.8,0.0,0.2,0.0,91.00%,317,323,311,951
25Q525,TOWNSEND HARRIS HIGH SCHOOL,Queens,99.0%,58.0,5.4,11.4,0.9,0.9,21.1,54.00%,621,651,638,1910
25Q525 copy,TOWNSEND HARRIS HIGH SCHOOL,Queens,99.0%,58.0,5.4,11.4,0.9,0.9,21.1,54.00%,621,651,638,1910
28Q440,FOREST HILLS HIGH SCHOOL,Queens,44.7%,24.5,8.4,34.5,0.3,0.9,29.0,66.50%,456,497,454,1407
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,Queens,97.9%,60.7,9.8,25.1,0.0,1.5,2.3,84.20%,612,660,596,1868
